Data;Histórico;Docto;Crédito;Débito;Saldo
01/06/2026;SALDO ANTERIOR;;;;12.500,00
02/06/2026;GOOGLE CLOUD BRASIL;900000;;223,91;12.276,09
03/06/2026;META PLATFORMS ADS MARKETING;900001;;1.021,89;11.254,20
05/06/2026;TARIFA MANUTENCAO CONTA PJ;900002;;89,00;11.165,20
08/06/2026;ESCRITORIO COWORKING BEEHIVE;900003;;900,00;10.265,20
15/06/2026;PAGTO SERVICOS TERCEIRIZADOS DEV FREELA;900004;;3.500,00;6.765,20
15/06/2026;META PLATFORMS ADS MARKETING;900005;;652,82;6.112,38
18/06/2026;RECEBIMENTO CLIENTE ACME COMERCIO LTDA;900006;6.708,19;;12.820,57
20/06/2026;DAS SIMPLES NACIONAL COMP 06/2026;900007;;1.428,00;11.392,57
20/06/2026;DARF IRPJ TRIMESTRAL;900008;;684,00;10.708,57
20/06/2026;RECEBIMENTO CLIENTE ACME COMERCIO LTDA;900009;6.432,39;;17.140,96
01/07/2026;SALDO ANTERIOR;;;;17.140,96
02/07/2026;RECEBIMENTO CLIENTE VERTEX DIGITAL;900010;5.693,27;;22.834,23
03/07/2026;ESCRITORIO COWORKING BEEHIVE;900011;;900,00;21.934,23
05/07/2026;TARIFA MANUTENCAO CONTA PJ;900012;;89,00;21.845,23
06/07/2026;RECEBIMENTO CLIENTE VERTEX DIGITAL;900013;8.517,15;;30.362,38
10/07/2026;META PLATFORMS ADS MARKETING;900014;;947,32;29.415,06
15/07/2026;PAGTO SERVICOS TERCEIRIZADOS DEV FREELA;900015;;3.500,00;25.915,06
15/07/2026;META PLATFORMS ADS MARKETING;900016;;885,71;25.029,35
20/07/2026;DAS SIMPLES NACIONAL COMP 06/2026;900017;;1.428,00;23.601,35
20/07/2026;DARF IRPJ TRIMESTRAL;900018;;684,00;22.917,35
26/07/2026;GOOGLE CLOUD BRASIL;900019;;105,25;22.812,10
01/08/2026;SALDO ANTERIOR;;;;22.812,10
05/08/2026;TARIFA MANUTENCAO CONTA PJ;900020;;89,00;22.723,10
09/08/2026;GOOGLE CLOUD BRASIL;900021;;301,70;22.421,40
10/08/2026;RECEBIMENTO CLIENTE VERTEX DIGITAL;900022;6.690,76;;29.112,16
15/08/2026;PAGTO SERVICOS TERCEIRIZADOS DEV FREELA;900023;;3.500,00;25.612,16
16/08/2026;ESCRITORIO COWORKING BEEHIVE;900024;;900,00;24.712,16
18/08/2026;RECEBIMENTO CLIENTE VERTEX DIGITAL;900025;6.380,61;;31.092,77
19/08/2026;META PLATFORMS ADS MARKETING;900026;;634,75;30.458,02
20/08/2026;DAS SIMPLES NACIONAL COMP 06/2026;900027;;1.428,00;29.030,02
20/08/2026;DARF IRPJ TRIMESTRAL;900028;;684,00;28.346,02
25/08/2026;META PLATFORMS ADS MARKETING;900029;;797,53;27.548,49
