data;lancamento;valor;saldo
01/06/2026;SALDO ANTERIOR;0,00;4.800,00
05/06/2026;SALARIO EMPRESA BEEKOFF LTDA;12.500,00;17.300,00
09/06/2026;SUPERMERCADO PAO DE ACUCAR;-297,03;17.002,97
09/06/2026;SUPERMERCADO PAO DE ACUCAR;-297,03;16.705,94
10/06/2026;ALUGUEL APTO 142 IMOBILIARIA VECTRA;-3.200,00;13.505,94
10/06/2026;CONDOMINIO EDIF AURORA;-785,00;12.720,94
10/06/2026;PIX ENVIADO JOAO M SILVA;-369,19;12.351,75
10/06/2026;PIX ENVIADO MARIA C LIMA;-73,29;12.278,46
12/06/2026;ENEL SP FATURA ENERGIA;-214,50;12.063,96
12/06/2026;SABESP CONTA DE AGUA;-98,20;11.965,76
14/06/2026;COMGAS FATURA GAS;-63,40;11.902,36
15/06/2026;VIVO FIBRA INTERNET 600MB;-149,90;11.752,46
17/06/2026;IPTU PREFEITURA SP PARCELA;-180,00;11.572,46
18/06/2026;UNIMED PLANO DE SAUDE TITULAR;-689,00;10.883,46
20/06/2026;TARIFA PACOTE DE SERVICOS;-34,90;10.848,56
25/06/2026;TRANSFERENCIA ENTRE CONTAS PROPRIAS NUBANK;-2.000,00;8.848,56
26/06/2026;SUPERMERCADO PAO DE ACUCAR;-157,41;8.691,15
01/07/2026;SALDO ANTERIOR;0,00;8.691,15
05/07/2026;SALARIO EMPRESA BEEKOFF LTDA;12.500,00;21.191,15
09/07/2026;SUPERMERCADO PAO DE ACUCAR;-272,94;20.918,21
10/07/2026;ALUGUEL APTO 142 IMOBILIARIA VECTRA;-3.200,00;17.718,21
10/07/2026;CONDOMINIO EDIF AURORA;-785,00;16.933,21
12/07/2026;ENEL SP FATURA ENERGIA;-214,50;16.718,71
12/07/2026;SABESP CONTA DE AGUA;-98,20;16.620,51
14/07/2026;COMGAS FATURA GAS;-63,40;16.557,11
15/07/2026;VIVO FIBRA INTERNET 600MB;-149,90;16.407,21
17/07/2026;PIX ENVIADO JOAO M SILVA;-178,32;16.228,89
18/07/2026;UNIMED PLANO DE SAUDE TITULAR;-689,00;15.539,89
20/07/2026;TARIFA PACOTE DE SERVICOS;-34,90;15.504,99
20/07/2026;IPTU PREFEITURA SP PARCELA;-180,00;15.324,99
23/07/2026;PIX ENVIADO JOAO M SILVA;-322,74;15.002,25
24/07/2026;SUPERMERCADO PAO DE ACUCAR;-309,60;14.692,65
25/07/2026;TRANSFERENCIA ENTRE CONTAS PROPRIAS NUBANK;-2.000,00;12.692,65
01/08/2026;SALDO ANTERIOR;0,00;12.692,65
05/08/2026;SALARIO EMPRESA BEEKOFF LTDA;12.500,00;25.192,65
08/08/2026;PIX ENVIADO MARIA C LIMA;-184,90;25.007,75
10/08/2026;ALUGUEL APTO 142 IMOBILIARIA VECTRA;-3.200,00;21.807,75
10/08/2026;CONDOMINIO EDIF AURORA;-785,00;21.022,75
12/08/2026;ENEL SP FATURA ENERGIA;-214,50;20.808,25
12/08/2026;SABESP CONTA DE AGUA;-98,20;20.710,05
14/08/2026;COMGAS FATURA GAS;-63,40;20.646,65
14/08/2026;IPTU PREFEITURA SP PARCELA;-180,00;20.466,65
15/08/2026;VIVO FIBRA INTERNET 600MB;-149,90;20.316,75
15/08/2026;SUPERMERCADO PAO DE ACUCAR;-152,42;20.164,33
17/08/2026;PIX ENVIADO MARIA C LIMA;-66,88;20.097,45
18/08/2026;UNIMED PLANO DE SAUDE TITULAR;-689,00;19.408,45
20/08/2026;TARIFA PACOTE DE SERVICOS;-34,90;19.373,55
20/08/2026;SUPERMERCADO PAO DE ACUCAR;-243,30;19.130,25
25/08/2026;TRANSFERENCIA ENTRE CONTAS PROPRIAS NUBANK;-2.000,00;17.130,25
31/08/2026;SALDO DO DIA;0,00;17.130,25
