Data,Valor,Identificador,Descrição
03/06/2026,-37.16,68120603-e5b2-4a00-9f31-0c2d00a7b4e0,"iFood *Restaurante Sabor"
04/06/2026,-17.88,68120604-e5b2-4a01-9f31-0c2d01a7b4e1,"Uber Trip"
06/06/2026,-45.45,68120606-e5b2-4a02-9f31-0c2d02a7b4e2,"Drogasil Filial 0821"
07/06/2026,-89.63,68120607-e5b2-4a03-9f31-0c2d03a7b4e3,"iFood"
07/06/2026,-263.37,68120607-e5b2-4a04-9f31-0c2d04a7b4e4,"Posto Ipiranga Rede Sol"
08/06/2026,-2850.00,68120608-e5b2-4a05-9f31-0c2d05a7b4e5,"Pagamento de fatura"
12/06/2026,-53.29,68120612-e5b2-4a06-9f31-0c2d06a7b4e6,"Uber Trip"
14/06/2026,-58.35,68120614-e5b2-4a07-9f31-0c2d07a7b4e7,"iFood *Restaurante Sabor"
17/06/2026,-271.50,68120617-e5b2-4a08-9f31-0c2d08a7b4e8,"Posto Ipiranga Rede Sol"
17/06/2026,-187.21,68120617-e5b2-4a09-9f31-0c2d09a7b4e9,"Carrefour Bairro"
20/06/2026,-23.24,68120620-e5b2-4a10-9f31-0c2d10a7b4e0,"Uber* Trip"
21/06/2026,-37.85,68120621-e5b2-4a11-9f31-0c2d11a7b4e1,"Starbucks Paulista"
22/06/2026,-41.72,68120622-e5b2-4a12-9f31-0c2d12a7b4e2,"Padaria Bella Vista"
24/06/2026,-75.15,68120624-e5b2-4a13-9f31-0c2d13a7b4e3,"iFood"
24/06/2026,-35.51,68120624-e5b2-4a14-9f31-0c2d14a7b4e4,"Uber* Trip"
24/06/2026,-40.41,68120624-e5b2-4a15-9f31-0c2d15a7b4e5,"Starbucks Paulista"
26/06/2026,2000.00,68120626-e5b2-4a16-9f31-0c2d16a7b4e6,"Transferência recebida - Conta Corrente Itaú"
27/06/2026,-143.67,68120627-e5b2-4a17-9f31-0c2d17a7b4e7,"Carrefour Bairro"
28/06/2026,-32.97,68120628-e5b2-4a18-9f31-0c2d18a7b4e8,"Drogasil Filial 0821"
04/07/2026,-47.33,68120704-e5b2-4a19-9f31-0c2d19a7b4e9,"iFood"
04/07/2026,-32.69,68120704-e5b2-4a20-9f31-0c2d20a7b4e0,"Uber* Trip"
08/07/2026,-2850.00,68120708-e5b2-4a21-9f31-0c2d21a7b4e1,"Pagamento de fatura"
08/07/2026,-23.36,68120708-e5b2-4a22-9f31-0c2d22a7b4e2,"Starbucks Paulista"
09/07/2026,-45.93,68120709-e5b2-4a23-9f31-0c2d23a7b4e3,"Drogasil Filial 0821"
14/07/2026,-148.64,68120714-e5b2-4a24-9f31-0c2d24a7b4e4,"Carrefour Bairro"
15/07/2026,-24.60,68120715-e5b2-4a25-9f31-0c2d25a7b4e5,"Starbucks Paulista"
16/07/2026,-39.64,68120716-e5b2-4a26-9f31-0c2d26a7b4e6,"iFood"
18/07/2026,-69.32,68120718-e5b2-4a27-9f31-0c2d27a7b4e7,"Drogasil Filial 0821"
18/07/2026,-176.59,68120718-e5b2-4a28-9f31-0c2d28a7b4e8,"Carrefour Bairro"
19/07/2026,-91.59,68120719-e5b2-4a29-9f31-0c2d29a7b4e9,"iFood *Restaurante Sabor"
19/07/2026,-45.07,68120719-e5b2-4a30-9f31-0c2d30a7b4e0,"Uber Trip"
19/07/2026,-27.05,68120719-e5b2-4a31-9f31-0c2d31a7b4e1,"Padaria Bella Vista"
20/07/2026,-233.92,68120720-e5b2-4a32-9f31-0c2d32a7b4e2,"Posto Ipiranga Rede Sol"
21/07/2026,-14.50,68120721-e5b2-4a33-9f31-0c2d33a7b4e3,"Uber Trip"
21/07/2026,-221.56,68120721-e5b2-4a34-9f31-0c2d34a7b4e4,"Posto Ipiranga Rede Sol"
23/07/2026,-16.48,68120723-e5b2-4a35-9f31-0c2d35a7b4e5,"Uber* Trip"
26/07/2026,2000.00,68120726-e5b2-4a36-9f31-0c2d36a7b4e6,"Transferência recebida - Conta Corrente Itaú"
26/07/2026,-59.07,68120726-e5b2-4a37-9f31-0c2d37a7b4e7,"iFood *Restaurante Sabor"
02/08/2026,-50.61,68120802-e5b2-4a38-9f31-0c2d38a7b4e8,"Uber Trip"
03/08/2026,-32.47,68120803-e5b2-4a39-9f31-0c2d39a7b4e9,"Padaria Bella Vista"
04/08/2026,-247.44,68120804-e5b2-4a40-9f31-0c2d40a7b4e0,"Posto Ipiranga Rede Sol"
08/08/2026,-2850.00,68120808-e5b2-4a41-9f31-0c2d41a7b4e1,"Pagamento de fatura"
08/08/2026,-28.83,68120808-e5b2-4a42-9f31-0c2d42a7b4e2,"Drogasil Filial 0821"
10/08/2026,-75.75,68120810-e5b2-4a43-9f31-0c2d43a7b4e3,"iFood *Restaurante Sabor"
10/08/2026,-31.45,68120810-e5b2-4a44-9f31-0c2d44a7b4e4,"Starbucks Paulista"
10/08/2026,-74.92,68120810-e5b2-4a45-9f31-0c2d45a7b4e5,"Carrefour Bairro"
14/08/2026,-129.63,68120814-e5b2-4a46-9f31-0c2d46a7b4e6,"Carrefour Bairro"
15/08/2026,-41.35,68120815-e5b2-4a47-9f31-0c2d47a7b4e7,"iFood"
16/08/2026,-41.27,68120816-e5b2-4a48-9f31-0c2d48a7b4e8,"Uber Trip"
16/08/2026,-263.41,68120816-e5b2-4a49-9f31-0c2d49a7b4e9,"Posto Ipiranga Rede Sol"
20/08/2026,-85.96,68120820-e5b2-4a50-9f31-0c2d50a7b4e0,"iFood"
23/08/2026,-22.90,68120823-e5b2-4a51-9f31-0c2d51a7b4e1,"Starbucks Paulista"
24/08/2026,-76.23,68120824-e5b2-4a52-9f31-0c2d52a7b4e2,"Drogasil Filial 0821"
25/08/2026,-34.52,68120825-e5b2-4a53-9f31-0c2d53a7b4e3,"Uber* Trip"
26/08/2026,2000.00,68120826-e5b2-4a54-9f31-0c2d54a7b4e4,"Transferência recebida - Conta Corrente Itaú"
27/08/2026,-40.12,68120827-e5b2-4a55-9f31-0c2d55a7b4e5,"iFood"
28/08/2026,-36.06,68120828-e5b2-4a56-9f31-0c2d56a7b4e6,"Uber* Trip"
