Data;Historico;Documento;Valor;Tipo
01/06/2026;SALDO ANTERIOR;;0,00;C
04/06/2026;MAGAZINE LUIZA;700000;242,04;D
06/06/2026;PRO LABORE SOCIO ADMINISTRADOR;700001;4.800,00;C
12/06/2026;SULAMERICA SEGURO SAUDE;700002;523,00;D
12/06/2026;JUROS CHEQUE ESPECIAL;700003;76,03;D
18/06/2026;MERCADO LIVRE COMPRA;700004;202,82;D
24/06/2026;APLICACAO CDB LIQUIDEZ DIARIA;700005;3.000,00;D
27/06/2026;RENDIMENTO POUPANCA;700006;39,75;C
03/07/2026;RENDIMENTO POUPANCA;700007;27,57;C
06/07/2026;PRO LABORE SOCIO ADMINISTRADOR;700008;4.800,00;C
12/07/2026;SULAMERICA SEGURO SAUDE;700009;523,00;D
14/07/2026;MERCADO LIVRE COMPRA;700010;394,50;D
17/07/2026;MERCADO LIVRE COMPRA;700011;400,71;D
20/07/2026;JUROS CHEQUE ESPECIAL;700012;37,59;D
24/07/2026;APLICACAO CDB LIQUIDEZ DIARIA;700013;3.000,00;D
02/08/2026;MAGAZINE LUIZA;700014;380,51;D
04/08/2026;JUROS CHEQUE ESPECIAL;700015;53,54;D
06/08/2026;PRO LABORE SOCIO ADMINISTRADOR;700016;4.800,00;C
07/08/2026;MAGAZINE LUIZA;700017;316,64;D
08/08/2026;RENDIMENTO POUPANCA;700018;10,13;C
12/08/2026;SULAMERICA SEGURO SAUDE;700019;523,00;D
24/08/2026;APLICACAO CDB LIQUIDEZ DIARIA;700020;3.000,00;D
32/13/2026;LANCAMENTO COM DATA INVALIDA;799999;100,00;D
